 other_after   nothing
Wezwę wezwać fin:sg:pri:perf  nothing
pomoc pomoc subst:sg:acc:f other_after 
 other_after   nothing
krzyknął krzyknąć praet:sg:m1:perf  nothing
Landau Landau subst:sg:nom:m1  nothing
i i conj  nothing
razem razem adv  nothing
ze z prep:inst:wok  nothing
zszokowanym zszokować ppas:sg:inst:m1:perf:aff  nothing
spaślakiem spaślakiem subst:sg:inst:m1  nothing
popędzili popędzić praet:pl:m1:perf  nothing
w w prep:acc:nwok  nothing
stronę strona subst:sg:acc:f  nothing
rezydencji rezydencja subst:sg:gen:f other_after 
 
Trun truna subst:pl:gen:f  nothing
wpał wpał subst:sg:gen:f  nothing
do do prep:gen  nothing
hangaru hangar subst:sg:gen:m3 other_after 
 
W w prep:loc:nwok  nothing
pierwszej pierwszy adj:sg:loc:f:pos  nothing
hali Hala subst:sg:loc:f  nothing
wszystko wszystko subst:sg:nom:n  nothing
było być praet:sg:n:imperf  nothing
we w prep:loc:wok  nothing
względnym względny adj:sg:loc:m3:pos  nothing
porządku porządek subst:sg:loc:m3 comma_after 
poza poza prep:inst  nothing
biegnącymi biec pact:pl:inst:m3:imperf:aff  nothing
pod pod prep:inst:nwok  nothing
dachem dach subst:sg:inst:m3  nothing
przeciążonymi przeciążyć ppas:pl:inst:m3:perf:aff  nothing
przewodami przewód subst:pl:inst:m3 comma_after 
z z prep:gen:nwok  nothing
których który adj:pl:gen:f:pos  nothing
sypały sypać praet:pl:f:imperf  nothing
się się qub  nothing
skry skra subst:pl:nom:f other_after 
 
Trun truna subst:pl:gen:f  nothing
przebiegł przebiec praet:sg:m1:perf  nothing
całą cały adj:sg:acc:f:pos  nothing
pierwszą pierwszy adj:sg:acc:f:pos  nothing
salę Sala subst:sg:acc:f  nothing
do do prep:gen  nothing
grodzi grodź subst:sg:gen:f comma_after 
która który adj:sg:nom:f:pos  nothing
została zostać praet:sg:f:perf  nothing
zatrzaśnięta zatrzasnąć ppas:sg:nom:f:perf:aff other_after 
 
Hala Hala subst:sg:nom:f  nothing
serwisowa serwisowy adj:sg:nom:f:pos  nothing
został zostać praet:sg:m3:perf  nothing
odcięta odciąć ppas:sg:nom:f:perf:aff  nothing
od od prep:gen:nwok  nothing
świata świat subst:sg:gen:m3 other_after 
 
Całym cały adj:sg:inst:m3:pos  nothing
obiektem obiekt subst:sg:inst:m3  nothing
wstrząsały wstrząsać praet:pl:n:imperf  nothing
straszliwe straszliwy adj:pl:acc:n:pos  nothing
uderzenia uderzenie subst:pl:acc:n other_after 
 
Kold kold subst:sg:nom:m1  nothing
mógł móc praet:sg:m1:imperf:nagl  nothing
sobie siebie siebie:dat  nothing
tylko tylko qub  nothing
wyobrazić wyobrazić inf:perf comma_after 
jakich jaki adj:pl:gen:n:pos  nothing
zniszczeń zniszczenie subst:pl:gen:n  nothing
dokonuje dokonywać fin:sg:ter:imperf  nothing
uszkodzony uszkodzony adj:sg:acc:m3:pos  nothing
konstrukt konstrukt subst:sg:acc:m3 other_after 
 
Jedyną jedyny adj:sg:inst:f:pos  nothing
nadzieją Nadzieja subst:sg:inst:f  nothing
na na prep:acc  nothing
uspokojenie uspokoić ger:sg:acc:n:perf:aff  nothing
automatu automat subst:sg:gen:m3  nothing
było być praet:sg:n:imperf  nothing
fizyczne fizyczny adj:sg:nom:n:pos  nothing
odłączenie odłączyć ger:sg:nom:n:perf:aff  nothing
źródła źródło subst:sg:gen:n  nothing
energii energia subst:sg:gen:f  nothing
od od prep:gen:nwok  nothing
modułu moduł subst:sg:gen:m3  nothing
naprawczego naprawczy adj:sg:gen:m3:pos other_after 
 
W w prep:loc:nwok  nothing
tym ten adj:sg:loc:m3:pos  nothing
momencie moment subst:sg:loc:m3  nothing
do do prep:gen  nothing
hali Hala subst:sg:gen:f  nothing
wpadł wpaść praet:sg:m3:perf  nothing
tuzin tuzin subst:sg:nom:m3  nothing
najemników najemnik subst:pl:gen:m1  nothing
Landaua Landau subst:sg:gen:m1 other_after 
 
Stanęli stanąć praet:pl:m1:perf  nothing
zdjęci zdjąć ppas:pl:nom:m1:perf:aff  nothing
zgrozą zgroza subst:sg:inst:f comma_after 
bezsilni bezsilny adj:pl:nom:m1:pos  nothing
wobec wobec prep:gen  nothing
rozszalałego rozszalały adj:sg:gen:m3:pos  nothing
żywiołu żywioł subst:sg:gen:m3  nothing
w w prep:loc:nwok  nothing
drugiej drugi adj:sg:loc:f:pos  nothing
sali Sala subst:sg:loc:f other_after 
 
Trun truna subst:pl:gen:f  nothing
nie nie qub  nothing
próżnował próżnować praet:sg:m1:imperf other_after 
 
Trzęsącymi trząść pact:pl:inst:f:imperf:aff  nothing
się się qub  nothing
rękami ręka subst:pl:inst:f  nothing
przesuwał przesuwać praet:sg:m1:imperf  nothing
dźwignie dźwignia subst:pl:acc:f  nothing
pulpitów pulpit subst:pl:gen:m3  nothing
sterowniczych sterowniczy adj:pl:gen:m3:pos  nothing
na na prep:acc  nothing
stan stan subst:sg:acc:m3  nothing
zero zero subst:sg:acc:n  nothing
i i conj  nothing
wybijał wybijać praet:sg:m1:imperf  nothing
z z prep:gen:nwok  nothing
uchwytów uchwyt subst:pl:gen:m3  nothing
kryształy kryształ subst:pl:nom:m3  nothing
przewodzące przewodzić pact:pl:nom:m3:imperf:aff other_after 
 
Nie nie qub  nothing
chciał chcieć praet:sg:m1:imperf  nothing
pozostawić pozostawić inf:perf  nothing
żadnej żaden adj:sg:gen:f:pos  nothing
szansy szansa subst:sg:gen:f  nothing
obłąkanemu obłąkać ppas:sg:dat:m3:perf:aff  nothing
konstruktowi konstrukt subst:sg:dat:m3 comma_after 
który który adj:sg:nom:m1:pos  nothing
właśnie właśnie qub  nothing
zaczął zacząć praet:sg:m1:perf  nothing
dobierać dobierać inf:imperf  nothing
się się qub  nothing
do do prep:gen  nothing
grodzi grodź subst:sg:gen:f other_after 
 
Kiedy kiedy adv  nothing
