
wielkość subst:sg:gen:f comma_after 
jaki adj:sg:gen:f:pos nothing
uczyć fin:sg:ter:imperf nothing
my ppron12:pl:acc:m1:pri nothing
dzisiaj adv nothing
Jezus subst:sg:nom:m1 comma_after 
nie qub nothing
osiągać fin:sg:ter:imperf nothing
się qub nothing
przez prep:acc:nwok nothing
zabiegać ger:sg:acc:n:imperf:aff nothing
o prep:acc nothing
własny adj:pl:acc:f:pos nothing
sprawa subst:pl:acc:f comma_after 
lecz conj nothing
przez prep:acc:nwok nothing
troska subst:sg:acc:f nothing
o prep:acc nothing
inny subst:pl:acc:m1 other_after 
chcieć fin:sg:sec:imperf nothing
być inf:imperf nothing
pierwszy adj:sg:inst:m3:pos comma_after 
stanąć impt:sg:sec:perf nothing
się qub nothing
sługa subst:sg:inst:m1 nothing
wszyscy subst:pl:gen:m1 other_after 

istnieć fin:sg:ter:imperf nothing
tylko qub nothing
jeden adj:sg:nom:f:pos nothing
władza subst:sg:nom:f nothing
i conj nothing
jeden adj:sg:acc:n:pos nothing
pierwszy adj:sg:acc:n:pos nothing
miejsce subst:sg:acc:n other_after 
ofiarny adj:sg:nom:f:pos nothing
i conj nothing
bezinteresowny adj:sg:nom:f:pos nothing
służba subst:sg:nom:f nothing
brat subst:pl:dat:m1 other_after 

w prep:loc:nwok nothing
pierwszy adj:sg:loc:f:pos nothing
chwila subst:sg:loc:f nothing
wydawać fin:sg:ter:imperf nothing
się qub nothing
to subst:sg:nom:n nothing
dziwny adj:sg:nom:n:pos comma_after 
lecz conj nothing
sprawdzać fin:sg:ter:imperf nothing
się qub nothing
w prep:loc:nwok nothing
życie subst:sg:loc:n other_after 

błogosławiony brev:pun other_after 
matka subst:sg:nom:f nothing
Teresa subst:sg:nom:f nothing
z prep:gen:nwok nothing
Kalkuta subst:sg:gen:f nothing
nie qub nothing
dokonać praet:sg:f:perf nothing
żaden adj:sg:gen:n:pos nothing
odkrycie subst:sg:gen:n nothing
w prep:loc:nwok nothing
nauka subst:sg:loc:f comma_after 
nie qub nothing
stworzyć praet:sg:f:perf nothing
dzieło subst:sg:gen:n nothing
sztuka subst:sg:gen:f comma_after 
nie qub nothing
odnieść praet:sg:f:perf nothing
sukces subst:sg:gen:m3 nothing
fonograficzny adj:sg:gen:m3:pos nothing
ani conj nothing
sportowy adj:sg:gen:m3:pos other_after 

zamiast prep:gen nothing
to subst:sg:gen:n nothing
poświęcić praet:sg:f:perf nothing
swój adj:sg:acc:n:pos nothing
życie subst:sg:acc:n nothing
ubogi adj:sg:inst:n:sup comma_after 
ostatni adj:sg:loc:m3:pos nothing
z prep:gen:nwok nothing
ostatni adj:pl:gen:m3:pos other_after 

czy qub nothing
ktoś subst:sg:nom:m1 nothing
powiedzieć fin:sg:ter:perf comma_after 
że comp nothing
on ppron3:sg:gen:f:ter:akc:npraep nothing
posługiwać ger:sg:nom:n:imperf:aff nothing
ubogi adj:sg:inst:n:pos comma_after 
kontakt subst:sg:nom:m3 nothing
z prep:inst:nwok nothing
nędza subst:sg:inst:f comma_after 
choroba subst:pl:inst:f comma_after 
brud subst:sg:inst:m3 nothing
i tak dalej brev:pun other_after 
uwłaczać praet:sg:n:imperf nothing
on ppron3:sg:dat:f:ter:akc:npraep nothing
godność subst:sg:dat:f nothing
i conj nothing
uczynić praet:sg:n:perf nothing
mały adj:sg:acc:f:com nothing
niż conj nothing
być praet:sg:f:imperf nothing
wczesno adv:com other_after 

nie qub other_after 

każdy adj:sg:nom:m1:pos nothing
powiedzieć fin:sg:ter:perf comma_after 
że comp nothing
przez prep:acc:nwok nothing
zniżyć ger:sg:acc:n:perf:aff nothing
się qub nothing
do prep:gen nothing
ten adj:pl:gen:m3:pos nothing
ostatni adj:pl:gen:m3:pos comma_after 
aby comp nothing
on ppron3:pl:dat:m1:ter:akc:npraep nothing
pomagać inf:imperf comma_after 
stać praet:sg:f:perf nothing
się qub nothing
jeszcze qub nothing
duży adj:sg:acc:f:com other_after 

wszyscy subst:pl:nom:m1 nothing
on ppron3:sg:acc:f:ter:akc:npraep nothing
podziwiać praet:pl:m1:imperf other_after 
niezależnie adv:pos nothing
od prep:gen:nwok nothing
przekonania subst:pl:gen:n nothing
religijny adj:pl:gen:n:pos nothing
czy conj nothing
polityczny adj:pl:gen:f:pos other_after 

otrzymać praet:sg:f:perf nothing
nawet qub nothing
pokojowy adj:sg:acc:f:pos nothing
nagroda subst:sg:acc:f nothing
Nobel subst:sg:gen:m1 other_after 

fakt subst:sg:nom:m3 nothing
poświęcić ger:sg:gen:n:perf:aff nothing
się qub nothing
dla prep:gen nothing
inny subst:pl:gen:m1 comma_after 
uczynić praet:sg:m1:perf nothing
on ppron3:sg:acc:f:ter:akc:npraep nothing
prawdziwie adv:pos nothing
wielki adj:sg:acc:f:pos other_after 
cieszyć praet:sg:f:imperf nothing
się qub nothing
ogólnoludzki adj:sg:inst:n:pos nothing
uznanie subst:sg:inst:n nothing
i conj nothing
szacunek subst:sg:inst:m3 other_after 

a conj nothing
on ppron3:pl:dat:m1:ter:akc:npraep nothing
bardzo adv:com nothing
poświęcać praet:sg:f:imperf nothing
się qub nothing
dla prep:gen nothing
drugi adj:pl:gen:m1:pos comma_after 
tym conj nothing
duży adj:sg:acc:f:com nothing
stawać praet:sg:f:imperf nothing
się qub nothing
w prep:loc:nwok nothing
oko subst:pl:loc:n nothing
świat subst:sg:gen:m3 other_after 

rozpoczynać fin:pl:pri:imperf nothing
dzisiaj adv nothing
w prep:loc:nwok nothing
kościół subst:sg:loc:m3 nothing
tydzień subst:sg:nom:m3 nothing
misyjny adj:sg:nom:m3:pos other_after 

modlić pcon:imperf nothing
się qub nothing
za prep:acc nothing
misjonarz subst:pl:acc:m1 nothing
i conj nothing
misjonarka subst:pl:acc:f nothing
popatrzeć impt:pl:pri:perf nothing
jeszcze qub nothing
na prep:acc nothing
postać subst:sg:acc:f nothing
świadek brev:pun other_after 
Wincenty subst:sg:gen:m1 nothing
a conj nothing
Paula subst:sg:voc:f nothing
pionier subst:sg:gen:m1 nothing
misja subst:sg:gen:f nothing
założyciel subst:sg:gen:m1 nothing
zgromadzenie subst:sg:gen:n nothing
ksiądz subst:pl:gen:m1 nothing
misjonarz subst:pl:gen:m1 nothing
i conj nothing
patron subst:sg:gen:m1 nothing
dzieło subst:pl:gen:n nothing
miłosierdzie subst:sg:gen:n other_after 

świadek brev:pun other_after 
Wincenty subst:sg:nom:m1 nothing
żyć praet:sg:m1:imperf nothing
w prep:loc:nwok nothing
siedemnastowieczny adj:sg:loc:f:pos nothing
Francja subst:sg:loc:f nothing
i conj nothing
prawdopodobnie adv:sup nothing
za prep:inst nothing
namowa subst:sg:inst:f nothing
ojciec subst:sg:gen:m1 nothing
wybrać praet:sg:m1:perf nothing
stan subst:sg:acc:m3 nothing
duchowny subst:sg:nom:m1 comma_after 
aby comp nothing
podnieść inf:perf nothing
status subst:sg:acc:m3 nothing
społeczny adj:sg:acc:m3:pos nothing
rodzina subst:sg:gen:f other_after 

późno adv:com nothing
jako conj nothing
ksiądz subst:sg:nom:m1 nothing
zabiegać praet:sg:m1:imperf nothing
o prep:acc nothing
posada subst:sg:acc:f nothing
biskup subst:sg:gen:m1 other_after 

nie qub nothing
być praet:sg:n:imperf nothing
to pred nothing
zły adj:sg:nom:n:pos nothing
pragnienie subst:sg:nom:n comma_after 
ale conj nothing
wtedy adv nothing
nie qub nothing
świadek brev:pun other_after 
Wincenta subst:sg:gen:f nothing
nie qub nothing
rozumieć praet:sg:m1:imperf nothing
jeszcze qub nothing
to subst:sg:gen:n nothing
o prep:loc nothing
co subst:sg:loc:n nothing
mówić fin:sg:ter:imperf nothing
dzisiaj adv nothing
Jezus subst:sg:nom:m1 nothing
w prep:loc:nwok nothing
Ewangelia subst:sg:loc:f other_after 
że comp nothing
przełożeństwo subst:sg:nom:n nothing
być fin:sg:ter:imperf nothing
służba subst:sg:inst:f other_after 

dlatego adv nothing
na prep:loc nothing
droga subst:sg:loc:f nothing
on ppron3:sg:gen:m1:ter:akc:npraep nothing
życie subst:sg:gen:n nothing
stanąć praet:sg:m1:perf nothing
Pan subst:sg:nom:m1 nothing
w prep:loc:nwok nothing
przebranie subst:sg:loc:n nothing
ubogi adj:pl:loc:n:pos nothing
i conj nothing
bezdomny subst:pl:gen:m1 other_after 

ksiądz brev:pun other_after 
Wincenty subst:sg:nom:m1 nothing
porzucić praet:sg:m1:perf nothing
swój adj:pl:acc:f:pos nothing
ziemski adj:pl:acc:f:pos nothing
aspiracja subst:pl:acc:f comma_after 
aby comp nothing
służyć inf:imperf nothing
ubogi adj:pl:dat:m1:pos comma_after 
za prep:acc nothing
CO subst:sg:acc:n nothing
wdzięczny adj:sg:nom:f:pos nothing
potomność subst:sg:nom:f nothing
nadać praet:sg:f:perf nothing
on ppron3:sg:dat:m1:ter:nakc:npraep nothing
przydomek subst:sg:acc:m3 nothing
ojciec subst:sg:gen:m1 nothing
ubogi adj:pl:gen:m1:pos other_after 

on ppron3:sg:gen:m3:ter:akc:npraep nothing
poświęcić ger:sg:nom:n:perf:aff nothing
się qub nothing
dla prep:gen nothing
ostatni adj:pl:gen:m1:pos nothing
z prep:gen:nwok nothing
ostatni adj:pl:gen:m3:pos nothing
być praet:sg:n:imperf nothing
tak adv:pos nothing
powszechnie adv:pos nothing
doceniać ppas:sg:nom:n:imperf:aff comma_after 
że comp nothing
rewolucja subst:sg:nom:f nothing
francuski adj:sg:nom:f:pos comma_after 
który adj:sg:nom:f:pos nothing
nie qub nothing
uznawać praet:sg:f:imperf nothing
żaden adj:pl:gen:f:pos nothing
świętość subst:pl:gen:f comma_after 
bezcześcić praet:sg:f:imperf nothing
nawet qub nothing
grób subst:pl:acc:m3 comma_after 
uszanować praet:sg:f:perf nothing
on ppron3:sg:gen:m1:ter:akc:npraep nothing
ciało subst:sg:nom:n other_after 

gdyby comp nothing
zostać praet:sg:m1:perf nothing
biskup subst:sg:inst:m1 comma_after 
dziś adv nothing
prawdopodobnie adv:pos nothing
nikt subst:sg:nom:m1 nothing
by qub nothing
on ppron3:sg:gen:m1:ter:nakc:npraep nothing
nie qub nothing
wspominać praet:sg:m1:imperf other_after 

prawdziwy adj:sg:gen:f:pos nothing
wielkość subst:sg:gen:f nothing
nie qub nothing
dać fin:sg:ter:perf nothing
my ppron12:pl:dat:m1:pri nothing
pozycja subst:sg:nom:f nothing
w prep:loc:nwok nothing
Świat subst:sg:loc:m3 comma_after 
zaszczyt subst:pl:nom:m3 comma_after 
lecz conj nothing
to subst:sg:nom:n comma_after 
CO subst:sg:acc:n nothing
zrobić fin:pl:pri:perf nothing
dla prep:gen nothing
inny subst:pl:gen:m1 other_after 

a conj nothing
być fin:sg:ter:imperf nothing
tak adv:pos nothing
dlatego adv comma_after 
że comp nothing
sam adj:sg:nom:m1:pos nothing
bóg subst:sg:nom:m1 nothing
postępować fin:sg:ter:imperf nothing
w prep:acc:nwok nothing
ten adj:sg:acc:m3:pos nothing
sposób subst:sg:acc:m3 other_after 
w prep:loc:nwok nothing
swój adj:sg:loc:n:pos nothing
syn subst:sg:loc:m1 nothing
poświęcić praet:sg:m1:perf nothing
się qub nothing
dla prep:gen nothing
my ppron12:pl:gen:m1:pri nothing
całkowicie adv:pos other_after 
oddać praet:sg:m1:perf nothing
za prep:acc nothing
my ppron12:pl:acc:m1:pri nothing
życie subst:sg:acc:n other_after 

bóg subst:sg:nom:m1 nothing
wyznaczać fin:sg:ter:imperf nothing
taki adj:sg:acc:m3:pos nothing
wzorzec subst:sg:acc:m3 nothing
i conj nothing
tylko qub nothing
stosować pcon:imperf nothing
się qub nothing
do prep:gen nothing
on ppron3:sg:gen:m1:ter:akc:praep comma_after 
można pred nothing
osiągnąć inf:perf nothing
prawdziwy adj:sg:acc:f:pos nothing
wielkość subst:sg:acc:f other_after 

dlatego adv nothing
na prep:loc nothing
inny adj:sg:loc:n:pos nothing
miejsce subst:sg:loc:n nothing
Pan subst:sg:nom:m1 nothing
Jezus subst:sg:nom:m1 nothing
mówić fin:sg:ter:imperf comma_after 
że comp nothing
to subst:sg:nom:n nothing
CO subst:sg:nom:n nothing
wielki adj:sg:nom:n:pos nothing
w prep:loc:nwok nothing
oko subst:pl:loc:n nothing
świat subst:sg:gen:m3 comma_after 
obrzydliwość subst:sg:inst:f nothing
być fin:sg:ter:imperf nothing
u prep:gen nothing
bóg subst:sg:gen:m1 other_after 
łk subst:sg:nom:m3 nothing
16 adj:sg:nom:m3:pos comma_after 
15b num:pl:nom:m3:rec other_after  other_after 

typowy adj:sg:nom:m3:pos nothing
cykl subst:sg:nom:m3 nothing
rozkazowy adj:sg:gen:m3:pos nothing
w prep:loc:nwok nothing
system subst:sg:loc:m3 nothing
o prep:loc nothing
architektura subst:sg:loc:f nothing
von burk nothing
neumanna subst:sg:nom:m1 nothing
zaczynać fin:sg:ter:imperf nothing
się qub nothing
od prep:gen:nwok nothing
pobrać ger:sg:gen:n:perf:aff nothing
rozkaz subst:sg:gen:m3 nothing
z prep:gen:nwok nothing
pamięć subst:sg:gen:f nothing
i conj nothing
przesłaniać fin:sg:ter:imperf nothing
on ppron3:sg:acc:m1:ter:nakc:npraep nothing
do prep:gen nothing
rejestr subst:sg:gen:m3 nothing
rozkaz subst:pl:gen:m3 other_after 
ang brev:pun other_after 
instruetion adj:sg:nom:m3:pos nothing
register subst:sg:nom:m3 other_after  other_after 

rozkaz subst:sg:nom:m3 nothing
być fin:sg:ter:imperf nothing
następnie adv nothing
dekodować ppas:sg:nom:m3:imperf:aff nothing
i conj nothing
realizować ppas:sg:nom:m3:imperf:aff other_after 
móc fin:sg:ter:imperf nothing
spowodować inf:perf nothing
pobrać ger:sg:acc:n:perf:aff nothing
argument subst:pl:gen:m3 nothing
z prep:gen:nwok nothing
pamięć subst:sg:gen:f nothing
i conj nothing
umieścić ger:sg:nom:n:perf:aff nothing
on ppron3:pl:gen:m3:ter:akc:npraep nothing
w prep:loc:nwok nothing
inny adj:sg:loc:m3:pos nothing
rejestr subst:sg:loc:m3 nothing
wewnętrzny adj:sg:loc:m3:pos other_after  other_after 

po prep:loc nothing
wykonać ger:sg:loc:n:perf:aff nothing
rozkaz subst:sg:gen:m3 nothing
na prep:acc nothing
argumentachjego adj:sg:acc:m3:pos nothing
wynik subst:sg:acc:m3 nothing
można pred nothing
z prep:inst:nwok nothing
powrót subst:sg:inst:m3 nothing
przechować inf:perf nothing
w prep:loc:nwok nothing
pamięć subst:sg:loc:f other_after 

zauważyć impt:pl:pri:perf comma_after 
że comp nothing
jednostka subst:sg:nom:f nothing
pamięć subst:sg:gen:f nothing
widzieć fin:sg:ter:imperf nothing
tylko qub nothing
strumień subst:sg:acc:m3 nothing
adres subst:pl:gen:m3 nothing
pamięć subst:sg:gen:f other_after 

nie qub nothing
być fin:sg:ter:imperf nothing
on ppron3:sg:gen:f:ter:akc:npraep nothing
znany adj:sg:nom:m3:pos nothing
sposób subst:sg:nom:m3 comma_after 
w prep:acc:nwok nothing
jaki adj:sg:acc:m3:pos nothing
on ppron3:pl:nom:m3:ter:akc:npraep nothing
powstać praet:pl:m3:perf other_after 
licznik subst:sg:nom:m3 nothing
rozkaz subst:pl:gen:m3 comma_after 
indeksować ger:sg:nom:n:imperf:aff comma_after 
modyfikacja subst:pl:acc:f nothing
pośredni adj:pl:acc:f:pos comma_after 
adres subst:pl:nom:m3 nothing
literalny adj:pl:nom:m3:pos nothing
itp brev:pun other_after  other_after 
ani conj nothing
czemu adv nothing
służyć fin:pl:ter:imperf other_after 
rozkaz subst:pl:nom:m3 nothing
lub conj nothing
dana subst:pl:acc:f other_after  other_after 

z prep:gen:nwok nothing
uwaga subst:sg:gen:f nothing
na prep:acc nothing
to subst:sg:acc:n nothing
móc fin:pl:pri:imperf nothing
zaniedbać inf:perf nothing
sposób subst:sg:acc:m3 nothing
generować ger:sg:gen:n:imperf:aff nothing
adres subst:sg:gen:m3 nothing
pamięć subst:sg:gen:f nothing
przez prep:acc:nwok nothing
program subst:sg:acc:m3 other_after 

interesować fin:pl:pri:imperf nothing
się qub nothing
tylko qub nothing
ciąg subst:sg:inst:m3 nothing
adres subst:pl:gen:m3 nothing
pamięć subst:sg:gen:f nothing
wytwarzać ppas:pl:gen:m3:imperf:aff nothing
przez prep:acc:nwok nothing
wykonywać ppas:sg:acc:m3:imperf:aff nothing
program subst:sg:acc:m3 other_after 

stać praet:sg:n:perf nothing
się qub other_after 

właśnie adv nothing
dołączyć praet:sg:m1:perf nothing
do prep:gen nothing
my ppron12:pl:gen:m1:pri nothing
500 adj:sg:nom:m1:pos nothing
fan subst:sg:nom:m1 nothing
na prep:loc nothing
facebook subst:sg:loc:n other_after 
u prep:gen other_after 

jako conj comma_after 
że comp nothing
apetyt subst:sg:nom:m3 nothing
rosnąć fin:sg:ter:imperf nothing
w prep:acc:nwok nothing
miara subst:sg:acc:f nothing
jedzenie subst:sg:gen:n comma_after 
czekać fin:pl:pri:imperf nothing
na prep:acc nothing
kolejny adj:pl:acc:f:pos nothing
1oo num:pl:acc:f:rec nothing
osoba subst:pl:gen:f comma_after 
który adj:pl:nom:f:pos nothing
będa subst:pl:nom:f nothing
chcieć praet:pl:f:imperf nothing
dowiedzieć inf:perf nothing
się qub nothing
dużo adv:com other_after 

oczywiście qub nothing
ciągle adv:pos nothing
starać fin:pl:pri:imperf nothing
się qub nothing
aby comp nothing
prezentować ppas:pl:nom:f:imperf:aff nothing
treść subst:pl:nom:f nothing
być praet:pl:f:imperf nothing
ciekawy adj:pl:nom:f:sup other_after 

zachęcać fin:pl:pri:imperf nothing
wy ppron12:pl:acc:m1:sec nothing
do prep:gen nothing
korzystać ger:sg:gen:n:imperf:aff nothing
z prep:gen:nwok nothing
możliwość subst:sg:gen:f nothing
sugester subst:sg:gen:f other_after 
a conj other_after 
zakładka subst:sg:nom:f nothing
po prep:loc nothing
prawy adj:sg:loc:f:pos nothing
strona subst:sg:loc:f other_after  other_after 

dzięki prep:dat nothing
wasz adj:pl:dat:f:pos nothing
uwaga subst:pl:dat:f nothing
i conj nothing
propozycja subst:pl:dat:f nothing
dowiedzieć fin:pl:pri:perf nothing
się qub nothing
jak adv:pos nothing
ulepszyć inf:perf nothing
strona subst:sg:acc:f other_after 

to subst:sg:inst:n nothing
na prep:loc nothing
co subst:sg:loc:n nothing
zależeć fin:sg:ter:imperf nothing
my ppron12:pl:dat:m1:pri nothing
bardzo adv:sup nothing
